id,batch_size,test_acc,x,y,z
0,12800,37%,-0.796610169491525,-0.932203389830508,1.68135456861376
0,12800,37%,-0.76271186440678,-0.932203389830508,1.65972207242181
0,12800,37%,-0.728813559322034,-0.932203389830508,1.63750409753803
0,12800,37%,-0.694915254237288,-0.932203389830508,1.61454281872941
0,12800,37%,-0.661016949152542,-0.932203389830508,1.59084697231239
0,12800,37%,-0.627118644067797,-0.932203389830508,1.5665434272758
0,12800,37%,-0.593220338983051,-0.932203389830508,1.54185507338418
0,12800,37%,-0.559322033898305,-0.932203389830508,1.51674358931651
0,12800,37%,-0.525423728813559,-0.932203389830508,1.49098783978909
0,12800,37%,-0.491525423728814,-0.932203389830508,1.46462550988448
0,12800,37%,-0.457627118644068,-0.932203389830508,1.43748325575497
0,12800,37%,-0.423728813559322,-0.932203389830508,1.40971961415486
0,12800,37%,-0.389830508474576,-0.932203389830508,1.38157215872722
0,12800,37%,-0.355932203389831,-0.932203389830508,1.35365254092548
0,12800,37%,-0.322033898305085,-0.932203389830508,1.32674376501959
0,12800,37%,-0.288135593220339,-0.932203389830508,1.30207263101788
0,12800,37%,-0.254237288135593,-0.932203389830508,1.28068862777408
0,12800,37%,-0.220338983050847,-0.932203389830508,1.26310154141676
0,12800,37%,-0.186440677966102,-0.932203389830508,1.25003812288258
0,12800,37%,-0.152542372881356,-0.932203389830508,1.24378746170994
0,12800,37%,-0.11864406779661,-0.932203389830508,1.24606854019394
0,12800,37%,-0.084745762711864,-0.932203389830508,1.2552551093842
0,12800,37%,-0.050847457627119,-0.932203389830508,1.26777864212141
0,12800,37%,-0.016949152542373,-0.932203389830508,1.2824090331117
0,12800,37%,0.016949152542373,-0.932203389830508,1.29905028738816
0,12800,37%,0.050847457627119,-0.932203389830508,1.31720349233198
0,12800,37%,0.084745762711864,-0.932203389830508,1.33598179109882
0,12800,37%,0.11864406779661,-0.932203389830508,1.35501856828229
0,12800,37%,0.152542372881356,-0.932203389830508,1.37399117471251
0,12800,37%,0.186440677966102,-0.932203389830508,1.39251667069552
0,12800,37%,0.220338983050848,-0.932203389830508,1.41042706167711
0,12800,37%,0.254237288135593,-0.932203389830508,1.42783433870844
0,12800,37%,0.288135593220339,-0.932203389830508,1.44492953243181
0,12800,37%,0.322033898305085,-0.932203389830508,1.46165187000958
0,12800,37%,0.35593220338983,-0.932203389830508,1.47799470026729
0,12800,37%,0.389830508474576,-0.932203389830508,1.49413848866507
0,12800,37%,0.423728813559322,-0.932203389830508,1.50997882644752
0,12800,37%,0.457627118644068,-0.932203389830508,1.52550636118066
0,12800,37%,0.491525423728814,-0.932203389830508,1.54066456265865
0,12800,37%,0.525423728813559,-0.932203389830508,1.55557109557694
0,12800,37%,0.559322033898305,-0.932203389830508,1.57021861292227
0,12800,37%,0.593220338983051,-0.932203389830508,1.5847355647386
0,12800,37%,0.627118644067797,-0.932203389830508,1.59913090278546
0,12800,37%,0.661016949152542,-0.932203389830508,1.61331872277264
0,12800,37%,0.694915254237288,-0.932203389830508,1.6275319795211
0,12800,37%,0.728813559322034,-0.932203389830508,1.64193357569142
0,12800,37%,0.76271186440678,-0.932203389830508,1.65665431481426
0,12800,37%,0.796610169491526,-0.932203389830508,1.67177147077921
0,12800,37%,0.830508474576271,-0.932203389830508,1.68726926103357
0,12800,37%,0.864406779661017,-0.932203389830508,1.70313962395235
0,12800,37%,0.898305084745763,-0.932203389830508,1.71931492200095
0,12800,37%,0.932203389830508,-0.932203389830508,1.73570140821564
0,12800,37%,0.966101694915254,-0.932203389830508,1.75234658114236
0,12800,37%,1,-0.932203389830508,1.76923957820296
0,12800,37%,-1,-0.898305084745763,1.78628058243659
0,12800,37%,-0.966101694915254,-0.898305084745763,1.76648507785037
0,12800,37%,-0.932203389830508,-0.898305084745763,1.74654149092672
0,12800,37%,-0.898305084745763,-0.898305084745763,1.72641418160693
